Player,Color,Opponent,PlayerElo,OpponentElo,Result,Date,UTCTime,Opening,NumMoves
player_06,White,opponent_1401,2064,2083,0-1,2025-10-01,00:00:12,Saragossa Opening,42
player_03,White,opponent_0135,1913,1868,0-1,2025-10-01,00:00:07,Caro-Kann Defense,78
player_12,Black,opponent_1767,2013,2010,0-1,2025-10-01,00:00:15,Four Knights Game: Italian Variation,74
player_29,Black,opponent_1159,2162,2113,1-0,2025-10-01,00:00:17,Scandinavian Defense: Modern Variation,57
player_23,Black,opponent_0941,2220,2267,1-0,2025-10-01,00:00:26,English Opening: Anglo-Scandinavian Defense,101
player_37,Black,opponent_1635,1935,2024,0-1,2025-10-01,00:00:14,Hungarian Opening,106
player_01,White,opponent_1953,2103,2173,0-1,2025-10-01,00:00:01,Caro-Kann Defense: Advance Variation,76
player_14,White,opponent_0500,1928,1933,1-0,2025-10-01,00:00:24,Sicilian Defense: McDonnell Attack,73
player_27,White,opponent_2000,2166,2161,1-0,2025-10-01,00:00:57,Sicilian Defense: Open,107
player_10,Black,opponent_1362,1912,1871,1-0,2025-10-01,00:00:46,Sicilian Defense: Taimanov Variation,63
player_32,White,opponent_0579,2360,2305,1-0,2025-10-01,00:00:46,Queen's Pawn Game,51
player_20,Black,opponent_1303,2303,2326,1-0,2025-10-01,00:00:47,Scotch Game,89
player_24,White,opponent_0170,2261,2300,0-1,2025-10-01,00:01:14,Horwitz Defense,114
player_18,Black,opponent_1977,2047,2058,1-0,2025-10-01,00:01:12,Sicilian Defense: Closed,87
player_19,White,opponent_2011,1907,1899,0-1,2025-10-01,00:01:05,Scandinavian Defense,42
player_06,Black,opponent_0712,2058,2049,0-1,2025-10-01,00:01:22,Caro-Kann Defense,54
player_08,White,opponent_0765,1922,1899,1-0,2025-10-01,00:01:25,English Opening: King's English Variation,79
player_30,White,opponent_1807,2193,2213,1-0,2025-10-01,00:01:25,Queen's Pawn Game,61
player_25,White,opponent_0880,1873,1927,1-0,2025-10-01,00:01:41,Sicilian Defense: Open,73
